youtubeId,movieId,title,Unnamed: 3,d1,status
J5mszOh_Qis,49,When Night Is Falling (1995),,,Fetched
oiXdPolca5w,50,"Usual Suspects, The (1995)",,,Fetched
2BBKx2Hji_0,51,Guardian Angel (1994),,,Fetched
#NAME?,52,Mighty Aphrodite (1995),,,Video Not Found
3Fd6ZlgOFqs,53,Lamerica (1994),,,Fetched
K4MltltKq4k,54,"Big Green, The (1995)",,,"Fetched, Comment Disabled"
jG9pUsmjAO8,55,Georgia (1995),,,"Fetched, Comment Disabled"
moJMVGICPc4,56,Kids of the Round Table (1995),,,Video Not Found
ThH8WocPRM0,57,Home for the Holidays (1995),,,Fetched
0or7hSz-7gc,58,"Postman, The (Postino, Il) (1994)",,,Fetched
mRX2-vM4eYQ,59,"Confessional, The (Confessionnal, Le) (1995)",,,Video Not Found
yoIBXVm_B9Y,60,"Indian in the Cupboard, The (1995)",,,"Fetched, Comment Disabled"
jY56N6irNCk,61,Eye for an Eye (1996),,,Fetched
JYoWGIrXiz0,62,Mr. Holland's Opus (1995),,,Fetched
JAAhQwcJ20U,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),,,Fetched
Psql1jhaIiA,64,Two if by Sea (1996),,,Fetched
9J6qOSUJXy0,65,Bio-Dome (1996),,,Video Not Found
MubmJ2jwvOM,66,Lawnmower Man 2: Beyond Cyberspace (1996),,,Fetched
z7oSfRVevzU,67,Two Bits (1995),,,"Fetched, Comment Disabled"
Qd_88LUuHGU,68,French Twist (Gazon maudit) (1995),,,Video Not Found
dxduMVVnrvU,69,Friday (1995),,,Video Not Found
9gQuxMD5jzU,70,From Dusk Till Dawn (1996),,,Fetched
YC3npzqwXcs,71,Fair Game (1995),,,Fetched
c_Q1WwePBNI,72,Kicking and Screaming (1995),,,Video Not Found
hck5I4F1OgU,73,"Misérables, Les (1995)",,,Fetched
GJ6-ymSjShg,74,Bed of Roses (1996),,,Fetched
rZU6xGcShw8,75,Big Bully (1996),,,Fetched
1AeAvE3FxQ8,76,Screamers (1995),,,Fetched
xjPZbigB4NA,77,Nico Icon (1995),,,Fetched
kDdwRURSEzI,78,"Crossing Guard, The (1995)",,,Fetched
Awng-jZnkoY,79,"Juror, The (1996)",,,Fetched
jL4l_tyPC0Y,80,"White Balloon, The (Badkonake sefid) (1995)",,,"Fetched, Comment Disabled"
i1o_PO3ridY,81,Things to Do in Denver When You're Dead (1995),,,Fetched
qiAyu1qKkfE,82,Antonia's Line (Antonia) (1995),,,Fetched
UwkAOHd8WRU,83,Once Upon a Time... When We Were Colored (1995),,,Fetched
FmYKCjilWAs,84,Last Summer in the Hamptons (1995),,,Fetched
bdqnz-FtIog,85,Angels and Insects (1995),,,Fetched
69ZoLvE9SpQ,86,White Squall (1996),,,Video Not Found
FjPueQfeQLs,87,Dunston Checks In (1996),,,Fetched
BRgCb1QjOv4,88,Black Sheep (1996),,,Fetched
o6trRzB8fiA,89,Nick of Time (1995),,,"Fetched, Comment Disabled"
PQJW7o37XJo,90,"Journey of August King, The (1995)",,,"Fetched, Comment Disabled"
qgHHBYzgL-s,92,Mary Reilly (1996),,,Fetched
HBel3A1-f2c,93,Vampire in Brooklyn (1995),,,Video Not Found
0AvkCamSj5o,94,Beautiful Girls (1996),,,"Fetched, Comment Disabled"
De29KipeZQw,95,Broken Arrow (1996),,,Video Not Found
vBS92ui_h74,96,In the Bleak Midwinter (1995),,,"Fetched, Comment Disabled"
M2Wl4li8TFo,97,"Hate (Haine, La) (1995)",,,Fetched
cR1Zvw5MmLs,98,Shopping (1994),,,Fetched
oA7M9qSJKrE,99,Heidi Fleiss: Hollywood Madam (1995),,,"Fetched, Comment Disabled"
OlCO01s1upA,100,City Hall (1996),,,Fetched
hspUSez-rYY,101,Bottle Rocket (1996),,,Fetched
vUn8MuKaOxQ,102,Mr. Wrong (1996),,,Video Not Found
ppsp24yW7ac,103,Unforgettable (1996),,,Fetched
y1emDAYCfVQ,104,Happy Gilmore (1996),,,Fetched
Up-oN4NtvbM,105,"Bridges of Madison County, The (1995)",,,Fetched
Rb6vdGA8Iy8,106,Nobody Loves Me (Keiner liebt mich) (1994),,,Fetched
KLUdKoCganU,107,Muppet Treasure Island (1996),,,"Fetched, Comment Disabled"
foBVdhrrOJ8,108,Catwalk (1996),,,Fetched
ZMTOFv3-hic,109,Headless Body in Topless Bar (1995),,,Video Not Found
1cnoM8EiGGU,110,Braveheart (1995),,,Fetched
cujiHDeqnHY,111,Taxi Driver (1976),,,Fetched
q7vg8uGzLts,112,Rumble in the Bronx (Hont faan kui) (1995),,,Fetched
KRrUiYxr5dc,113,Before and After (1996),,,Fetched
S82xxKIURF4,114,Margaret's Museum (1995),,,Fetched
#NAME?,115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",,,Video Not Found
HFMnh-n7U7w,116,Anne Frank Remembered (1995),,,Fetched
Xw6F07ChJzQ,117,"Young Poisoner's Handbook, The (1995)",,,Fetched
TNTV9Txit-Q,118,If Lucy Fell (1996),,,Fetched
9uBpp-qIIp8,119,"Steal Big, Steal Little (1995)",,,"Fetched, Comment Disabled"
w7idtZ4tsN8,120,Race the Sun (1996),,,Fetched
VsRIJqOXH-U,121,"Boys of St. Vincent, The (1992)",,,Video Not Found
Sr60MOJ_fhc,122,Boomerang (1992),,,"Fetched, Comment Disabled"
ZkyRcGGeq8E,123,Chungking Express (Chung Hing sam lam) (1994),,,Fetched
TvxLosSHUvI,124,"Star Maker, The (Uomo delle stelle, L') (1995)",,,Fetched
b0nE4KWZ4Io,125,Flirting With Disaster (1996),,,Fetched
hgs5CgnBJFs,126,"NeverEnding Story III, The (1994)",,,Fetched
2Vmtb6B6nTs,127,"Silences of the Palace, The (Saimt el Qusur) (1994)",,,Fetched
1P8JYwOhWoc,128,Jupiter's Wife (1994),,,Fetched
_d7KNUnJF4o,129,Pie in the Sky (1996),,,Fetched
cooYPruKl78,130,Angela (1995),,,"Fetched, Comment Disabled"
2vrYABGERJw,131,Frankie Starlight (1995),,,Fetched
x_aXAlSl02U,132,Jade (1995),,,Video Not Found
FoIulZLn_uY,133,Nueba Yol (1995),,,Video Not Found
5zI1PtnNXOs,134,Sonic Outlaws (1995),,,Video Not Found
pjyjP5h6PjI,135,Down Periscope (1996),,,Fetched
qiBfZs6P6OA,136,From the Journals of Jean Seberg (1995),,,Video Not Found
uau-JNTHON8,137,Man of the Year (1995),,,Video Not Found
nKldiFbwf4w,138,"Neon Bible, The (1995)",,,Video Not Found
KbjTJRZkt5Q,139,Target (1995),,,Fetched
RiRUHeUhM3U,140,Up Close and Personal (1996),,,Fetched
83kTQ6chG4o,141,"Birdcage, The (1996)",,,Fetched
l25067DO9mo,142,Shadows (Cienie) (1988),,,Video Not Found
wyBB6G6pWC8,143,Gospa (1995),,,Video Not Found
QEFxzbRLOmg,144,"Brothers McMullen, The (1995)",,,Fetched
ZYxO2ODedhA,145,Bad Boys (1995),,,Fetched
Uwnm9QAwhzE,146,"Amazing Panda Adventure, The (1995)",,,"Fetched, Comment Disabled"
W5eVnwe6Pxs,147,"Basketball Diaries, The (1995)",,,Fetched
HPBkA3GuvcY,148,"Awfully Big Adventure, An (1995)",,,Fetched
GLhu37ozFx8,149,Amateur (1994),,,Fetched
e3ZtOS4MCkk,150,Apollo 13 (1995),,,Fetched
w0-2kzujLA8,151,Rob Roy (1995),,,Fetched
0wgIIsXz-Vk,152,"Addiction, The (1995)",,,Fetched
b_KllgySsPo,153,Batman Forever (1995),,,Fetched
1nN7TYFuLy4,154,Beauty of the Day (Belle de jour) (1967),,,Fetched
0WhJt46AhFk,155,Beyond Rangoon (1995),,,Video Not Found
72ue1Jqy01E,156,Blue in the Face (1995),,,Fetched
ayOlQ9If_cA,157,Canadian Bacon (1995),,,Fetched
BBEB9OSfeCA,158,Casper (1995),,,Fetched
YsFUoioGePc,159,Clockers (1995),,,Fetched
icu59hembVk,160,Congo (1995),,,Fetched
cc0Az3IJFOU,161,Crimson Tide (1995),,,"Fetched, Comment Disabled"
qXVX24JoOB8,162,Crumb (1994),,,Video Not Found
MdZaOB03b1U,163,Desperado (1995),,,Fetched
50EVm04iPLk,164,Devil in a Blue Dress (1995),,,Fetched
gcsk7C7FfQM,165,Die Hard: With a Vengeance (1995),,,Fetched
wWTm1mQlnfg,166,"Doom Generation, The (1995)",,,"Fetched, Comment Disabled"
8n2AQuAUSEQ,167,Feast of July (1995),,,Video Not Found
xUnz3llwIjE,168,First Knight (1995),,,Video Not Found
qqOPd5jKYG4,169,Free Willy 2: The Adventure Home (1995),,,Fetched
Ql1uLyuWra8,170,Hackers (1995),,,Fetched
dhOHvdiLaDI,171,Jeffrey (1995),,,Video Not Found
U_8BVWHSU_o,172,Johnny Mnemonic (1995),,,Fetched
43-BefmjMFg,173,Judge Dredd (1995),,,Fetched
bdKOtQlUS6s,174,Jury Duty (1995),,,Fetched
U9a5tZSKDOU,175,Kids (1995),,,Fetched
OaTEaKhXfzM,176,Living in Oblivion (1995),,,Video Not Found
YyJvOuxZDHY,177,Lord of Illusions (1995),,,"Fetched, Comment Disabled"
_1cjHboN8Mw,178,Love & Human Remains (1993),,,Fetched
BzJaAn20O_g,179,Mad Love (1995),,,Fetched
_eVo7aBze1w,180,Mallrats (1995),,,Fetched
yVJYRsCIzWE,181,Mighty Morphin Power Rangers: The Movie (1995),,,"Fetched, Comment Disabled"
EP2jMPtwKKg,182,Moonlight and Valentino (1995),,,Fetched
Ss5Hw3uiArs,183,Mute Witness (1994),,,Fetched
3L5f9EXKE5I,184,Nadja (1994),,,Fetched
46qKHq7REI4,185,"Net, The (1995)",,,Fetched
dVmOU8HPf_E,186,Nine Months (1995),,,Fetched
ztJuuYFnD1k,187,Party Girl (1995),,,Fetched
#NAME?,188,"Prophecy, The (1995)",,,Video Not Found
uUg76lizbSA,189,Reckless (1995),,,Fetched
63NPIiCl3zo,190,Safe (1995),,,Fetched
NlUetVd4rsw,191,"Scarlet Letter, The (1995)",,,Fetched
2UHm2ASOpXA,192,"Show, The (1995)",,,Fetched
gszDLDFwcLk,193,Showgirls (1995),,,Fetched
uem9TbvQpFk,194,Smoke (1995),,,Fetched
yxbLkx8A1WI,195,Something to Talk About (1995),,,Fetched
I8mWmRSVrbM,196,Species (1995),,,Video Not Found
W__mIvuAiSc,197,"Stars Fell on Henrietta, The (1995)",,,Fetched
5yaXPx6xWEQ,198,Strange Days (1995),,,Fetched
Cb5iVFq7qlQ,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",,,Fetched
4eR7bo9Ertk,200,"Tie That Binds, The (1995)",,,Video Not Found
hQR4_rT0qB4,201,Three Wishes (1995),,,"Fetched, Comment Disabled"
8eZpsPixVuU,202,Total Eclipse (1995),,,Fetched
YEcfZNdleCY,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",,,Fetched
OhPOPHR67-U,204,Under Siege 2: Dark Territory (1995),,,Fetched
fPjFjAWYTLc,205,Unstrung Heroes (1995),,,Fetched
irIUyh38WFw,206,Unzipped (1995),,,"Fetched, Comment Disabled"
cULvtpaIK9I,207,"Walk in the Clouds, A (1995)",,,Fetched
oEp382HIisE,208,Waterworld (1995),,,Fetched
37U_vQOKooE,209,White Man's Burden (1995),,,Fetched
chceChQAVjI,210,Wild Bill (1995),,,Fetched
fSqvtspQonw,211,"Browning Version, The (1994)",,,Fetched
Jq2ofg3bB_g,212,Bushwhacked (1995),,,Fetched
1gPzpr08hFk,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),,,Fetched
wHBQ4VsQaic,214,Before the Rain (Pred dozhdot) (1994),,,Fetched
jGvcbSabADM,215,Before Sunrise (1995),,,Fetched
k3PUNBE9J0A,216,Billy Madison (1995),,,Fetched
vFjjVTrgBmM,217,"Babysitter, The (1995)",,,"Fetched, Comment Disabled"
zr7YfmdIDjU,218,Boys on the Side (1995),,,Fetched
sa1tVnGSbXs,219,"Cure, The (1995)",,,Fetched
zj-HQUCgZww,220,Castle Freak (1995),,,Video Not Found
6MANr3__teY,222,Circle of Friends (1995),,,Video Not Found
Mlfn5n-E2WE,223,Clerks (1994),,,Fetched
AteQZ7q6rtA,224,Don Juan DeMarco (1995),,,Fetched
ih2-TLzLjgk,225,Disclosure (1994),,,Fetched
bpiMKiI1PUM,226,Dream Man (1995),,,Fetched
8s9nvB7Oc8s,227,Drop Zone (1994),,,Fetched
4wNfb1lh7oE,228,Destiny Turns on the Radio (1995),,,"Fetched, Comment Disabled"
Cnnz214wwkI,229,Death and the Maiden (1994),,,Fetched
NavcqMwqD4w,230,Dolores Claiborne (1995),,,Fetched
tNLb4t9xgNM,231,Dumb & Dumber (Dumb and Dumber) (1994),,,Fetched
l7pKpO8NErU,232,Eat Drink Man Woman (Yin shi nan nu) (1994),,,Fetched
tNxozZb7jr4,233,Exotica (1994),,,Video Not Found
Yxa7yLhYDg8,234,Exit to Eden (1994),,,"Fetched, Comment Disabled"
CawVaHxWvnA,235,Ed Wood (1994),,,Fetched
_mNts8Qoms4,236,French Kiss (1995),,,Video Not Found
G8ZHyJoKYnM,237,Forget Paris (1995),,,Fetched
fHbI2fohgeI,238,Far From Home: The Adventures of Yellow Dog (1995),,,Fetched
aFYCQoIpGuE,239,"Goofy Movie, A (1995)",,,"Fetched, Comment Disabled"
1jmKLl95NZ8,240,Hideaway (1995),,,"Fetched, Comment Disabled"
4iQp5RXzvwk,241,Fluke (1995),,,Fetched
iGhlievFg24,242,Farinelli: il castrato (1994),,,Fetched
RSTZl1bENrc,243,Gordy (1995),,,Not Fetched
Jyrok5zJ1kg,244,Gumby: The Movie (1995),,,Video Not Found
5xFAQHd_Ig0,245,"Glass Shield, The (1994)",,,Video Not Found
AglLHi4_0MM,246,Hoop Dreams (1994),,,Fetched
TfFDm9q8cS0,247,Heavenly Creatures (1994),,,"Fetched, Comment Disabled"
irjJknY_r0Q,248,Houseguest (1994),,,"Fetched, Comment Disabled"
d2e5Siu8E1k,249,Immortal Beloved (1994),,,Video Not Found
AHXmxeu0avQ,250,Heavyweights (Heavy Weights) (1995),,,Video Not Found
#NAME?,251,"Hunted, The (1995)",,,Video Not Found
AzwMZVRxTE0,252,I.Q. (1994),,,Fetched
HBTObecD93s,253,Interview with the Vampire: The Vampire Chronicles (1994),,,Fetched
UxoLGZ3J3-M,254,Jefferson in Paris (1995),,,Video Not Found
Jl7b3E4kbeY,255,"Jerky Boys, The (1995)",,,Fetched
aNfsJuv0bJU,256,Junior (1994),,,Fetched
tZlr2PbTiow,257,Just Cause (1995),,,Fetched
yLtmLy1Vzkc,258,"Kid in King Arthur's Court, A (1995)",,,"Fetched, Comment Disabled"
gzF3Z9IObMU,259,Kiss of Death (1995),,,Video Not Found
vZ734NWnAHA,260,Star Wars: Episode IV - A New Hope (1977),,,Fetched
uKqi9edJVQY,261,Little Women (1994),,,Fetched
Q3WJrWZ_npg,262,"Little Princess, A (1995)",,,"Fetched, Comment Disabled"
0qQY4Oeey8M,263,Ladybird Ladybird (1994),,,Fetched
uEYHByR9-vI,264,"Enfer, L' (1994)",,,"Fetched, Comment Disabled"
pYis759nCvs,265,Like Water for Chocolate (Como agua para chocolate) (1992),,,Fetched
TR5E7Kuty3o,266,Legends of the Fall (1994),,,Fetched
6Vvlw7uPdn8,267,Major Payne (1995),,,"Fetched, Comment Disabled"
LkGY1-IvSmU,268,Little Odessa (1994),,,Fetched
hASzFtCe6hM,269,My Crazy Life (Mi vida loca) (1993),,,Video Not Found
#NAME?,270,Love Affair (1994),,,Video Not Found
#NAME?,271,Losing Isaiah (1995),,,Video Not Found
gCVHxguFzWQ,272,"Madness of King George, The (1994)",,,Video Not Found
Lg17y6iz7Xs,273,Mary Shelley's Frankenstein (Frankenstein) (1994),,,Fetched
JcW2p8nyrng,274,Man of the House (1995),,,"Fetched, Comment Disabled"
dwBG2CXDXcc,275,Mixed Nuts (1994),,,Fetched
UuaARlicot8,276,Milk Money (1994),,,"Fetched, Comment Disabled"
yiypbCFV7Ao,277,Miracle on 34th Street (1994),,,Fetched
0hN8H5gqPG4,278,Miami Rhapsody (1995),,,Video Not Found
Cl7ff7hqAA0,279,My Family (1995),,,Fetched
oMbMwdPwnYE,280,Murder in the First (1995),,,Fetched
qH9C9_WsmLA,281,Nobody's Fool (1994),,,"Fetched, Comment Disabled"
n1Zay9SOYxA,282,Nell (1994),,,Fetched
6wEM9KYgMx4,283,New Jersey Drive (1995),,,Fetched
AcJamsBwsPM,284,New York Cop (Nyû Yôku no koppu) (1993),,,Fetched
lSbg-ZoELAo,286,Nemesis 2: Nebula (1995),,,Fetched
2IfHLq0k6Q8,287,Nina Takes a Lover (1994),,,Fetched
XpLKNclOtLg,288,Natural Born Killers (1994),,,Fetched
zLrqyfkXt_A,289,Only You (1994),,,Fetched
_NV45ZuepZo,290,Once Were Warriors (1994),,,Video Not Found
cWeLiFAycR4,291,Poison Ivy II (1996),,,Fetched
AgZ5goJibn0,292,Outbreak (1995),,,Fetched
aNQqoExfQsg,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),,,Fetched
DR7GMGA5A_U,294,"Perez Family, The (1995)",,,Fetched
IiZ50_XsjS4,295,"Pyromaniac's Love Story, A (1995)",,,"Fetched, Comment Disabled"
s7EdQ4FqbhY,296,Pulp Fiction (1994),,,Fetched
jCNHQXLMye4,297,Panther (1995),,,Fetched
4GJ9OTI4GSY,298,Pushing Hands (Tui shou) (1992),,,Fetched
rqHsXSG6A0U,299,Priest (1994),,,Fetched
oOSnYt9k4kM,300,Quiz Show (1994),,,Fetched
MhcgYHDTFjY,301,Picture Bride (Bijo photo) (1994),,,Video Not Found
8veVCS1vF54,302,"Queen Margot (Reine Margot, La) (1994)",,,Video Not Found
NfRrEUz62Lw,303,"Quick and the Dead, The (1995)",,,Fetched
JNNloERKTrI,304,Roommates (1995),,,Video Not Found
ENrpGFroUbw,305,Ready to Wear (Pret-A-Porter) (1994),,,Fetched
ZXNjdrYzxys,306,Three Colors: Red (Trois couleurs: Rouge) (1994),,,Fetched
9wjcbC-xn9g,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),,,Fetched
xECEAPfdqic,308,Three Colors: White (Trzy kolory: Bialy) (1994),,,Fetched
QQqbpU-yEEA,309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",,,"Fetched, Comment Disabled"
00-WPchnLTE,310,Rent-a-Kid (1995),,,Fetched
hVwPmQEugcw,311,Relative Fear (1994),,,Fetched
RvgMIerTXl4,312,Stuart Saves His Family (1995),,,Video Not Found
5wfMVdyDa_g,313,"Swan Princess, The (1994)",,,Fetched
fWoyGukz1ag,314,"Secret of Roan Inish, The (1994)",,,Fetched
mqTrjDsEg4g,315,"Specialist, The (1994)",,,Fetched
GZwcZ8TBlaU,316,Stargate (1994),,,Fetched
t067u2Jnks0,317,"Santa Clause, The (1994)",,,Video Not Found
WawU4ouldxU,318,"Shawshank Redemption, The (1994)",,,Fetched
xKrfUAho5as,319,Shallow Grave (1994),,,Fetched
IzZSguDxGsk,320,Suture (1993),,,Fetched
neQX3mpG1j8,321,Strawberry and Chocolate (Fresa y chocolate) (1993),,,Fetched
UH9OLQh46FY,322,Swimming with Sharks (1995),,,Fetched
rBGjUQJ_1Dc,324,"Sum of Us, The (1994)",,,Fetched
NEMpSSOutfg,325,National Lampoon's Senior Trip (1995),,,Video Not Found
GAZUbjttUPc,326,To Live (Huozhe) (1994),,,Fetched
Y3iEgKjh3Nk,327,Tank Girl (1995),,,Fetched
2cT5Cg8H7ec,328,Tales from the Crypt Presents: Demon Knight (1995),,,Fetched
MUieGh1fHSI,329,Star Trek: Generations (1994),,,"Fetched, Comment Disabled"
hrn2PzAk6iw,330,Tales from the Hood (1995),,,Fetched
YZyOxE04wnE,331,Tom & Viv (1994),,,Fetched
Y7tNVTmlkzg,332,Village of the Damned (1995),,,Fetched
U-xFypjUqTM,333,Tommy Boy (1995),,,Fetched
q4WceRNb7e0,334,Vanya on 42nd Street (1994),,,Fetched
XGypRYIyr0I,335,Underneath (1995),,,Video Not Found
UoISioGH52Y,336,"Walking Dead, The (1995)",,,Fetched
X6sLIP3908w,337,What's Eating Gilbert Grape (1993),,,Fetched
KEDdaStz4kw,338,Virtuosity (1995),,,Fetched
d3RSYSsgz3w,339,While You Were Sleeping (1995),,,Fetched
BzB_Qkl2Gec,340,"War, The (1994)",,,Fetched
Pz9ZnZ8d3Vs,341,Double Happiness (1994),,,Video Not Found
eTFCFThbwbo,342,Muriel's Wedding (1994),,,"Fetched, Comment Disabled"
zBmEySbwGsk,343,"Baby-Sitters Club, The (1995)",,,"Fetched, Comment Disabled"
JudjRVhIgns,344,Ace Ventura: Pet Detective (1994),,,Fetched
Jtz7jaBpSKk,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",,,Fetched
zrLGwxh47pM,346,Backbeat (1993),,,Video Not Found
R3EMSHqkbfI,347,Bitter Moon (1992),,,"Fetched, Comment Disabled"
6BDr_9S5ZwU,348,Bullets Over Broadway (1994),,,Fetched
3sG1tGbpT7c,349,Clear and Present Danger (1994),,,Fetched
EZY7_dCQRgk,350,"Client, The (1994)",,,Fetched
iLXgRczHyWo,351,"Corrina, Corrina (1994)",,,Fetched
KnYl1TfWD-U,352,Crooklyn (1994),,,Fetched
N5uPZ7ocsqA,353,"Crow, The (1994)",,,Fetched
zZFiH0SQpiY,354,Cobb (1994),,,Fetched
dr1wHw-xOKA,355,"Flintstones, The (1994)",,,Video Not Found
bLvqoHBptjg,356,Forrest Gump (1994),,,"Fetched, Comment Disabled"
ALRW0GR3DSg,357,Four Weddings and a Funeral (1994),,,Fetched
_4KVCVX1MrQ,358,Higher Learning (1995),,,Fetched
mVzmH9toJp0,359,I Like It Like That (1994),,,Fetched
c0OGgqPat_A,360,I Love Trouble (1994),,,Video Not Found
cEvsrvQ2RD8,361,It Could Happen to You (1994),,,"Fetched, Comment Disabled"
uBAku3Cwsgk,362,"Jungle Book, The (1994)",,,Video Not Found
91607Aqn-mo,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",,,Fetched
4sj1MT05lAA,364,"Lion King, The (1994)",,,"Fetched, Comment Disabled"
aAMnjj6oU6s,365,Little Buddha (1993),,,Video Not Found
F6Dk9asJ0QY,366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",,,Fetched
lcjN7zkgELM,367,"Mask, The (1994)",,,Fetched
mQ69CVbCiow,368,Maverick (1994),,,Fetched
eMX6BubBwmM,369,Mrs. Parker and the Vicious Circle (1994),,,Fetched
WQ3p19A1mbw,370,Naked Gun 33 1/3: The Final Insult (1994),,,"Fetched, Comment Disabled"
4NeHWLZbs0g,371,"Paper, The (1994)",,,Fetched
xDYGo0UgIVM,372,Reality Bites (1994),,,Fetched
rqlGO7rYhwY,373,Red Rock West (1992),,,Fetched
fJJQ44fdDws,374,Richie Rich (1994),,,Video Not Found
X2vyr662x4Q,375,Safe Passage (1994),,,Fetched
_ItXkYO1Xj0,376,"River Wild, The (1994)",,,Fetched
aRmhneo5A48,377,Speed (1994),,,Fetched
PxZo3oM5k2E,378,Speechless (1994),,,Fetched
WuujAfDRSfc,379,Timecop (1994),,,Fetched
3B7HG8_xbDw,380,True Lies (1994),,,Fetched
Fr6w2bt8k9A,381,When a Man Loves a Woman (1994),,,Video Not Found
JBwwLfog4Yo,382,Wolf (1994),,,Fetched
BS5n_Ql1v2k,383,Wyatt Earp (1994),,,Fetched
z_749VE-fMQ,384,Bad Company (1995),,,Fetched
soWVMrp250U,385,"Man of No Importance, A (1994)",,,Fetched
CLQ_dlkA6sU,386,S.F.W. (1994),,,Fetched
tERDJWEzhFk,387,"Low Down Dirty Shame, A (1994)",,,Fetched
OgfaZOT8epY,388,Boys Life (1995),,,Fetched
r7301zlUHQg,389,"Colonel Chabert, Le (1994)",,,Fetched
m3JjyvQzSJI,390,Faster Pussycat! Kill! Kill! (1965),,,Video Not Found
xzeTvIWxhek,391,Jason's Lyric (1994),,,"Fetched, Comment Disabled"
k02RCw2aIMg,392,"Secret Adventures of Tom Thumb, The (1993)",,,Video Not Found
iVzAMmpMra8,393,Street Fighter (1994),,,Fetched
LvftNKkVk2s,394,Coldblooded (1995),,,Fetched
rNDjKLp0S7w,395,Desert Winds (1995),,,Fetched
